,Id,Review,Label,ans
0,0,good interesting,5,other
1,1,class helpful Currently Im still learning class makes lot basic music knowledge,5,other
3,3,Easy follow includes lot basic important techniques use sketchup,5,other
14,14,structured approach Thank sharing,5,other
20,20,Great piece work especially liked lifehacks CIO,5,other
22,22,Excellent representation day day thanks sharing vision experience advicesRegardsDaniel Damas,4,other
23,23,interesting welldesigned MOOC,5,other
32,32,Good quality,5,other
33,33,Thanks,5,other
37,37,Excellent overview ways 3D printing use may used future,5,other
41,41,opened understanding could accomplished 3D printing,5,other
42,42,Important information copy rights patents etc,4,other
45,45,really good survey class potential 3d printing examples individuals empower others without obstacles traditional tooling relatively short learning curve low investment also demonstrates ways increasingly future well capable designing solutions problems increasing agilityThe thing could make better would design challengesThanks,5,other
54,54,interesting,5,other
60,60,Full Individuals speaking,3,other
61,61,less repetitive full useful informations applications,3,other
62,62,good inspirational examples,5,other
65,65,good introduction applications 3D printing,3,other
66,66,good overview amazing technology,5,other
68,68,exemplary examples 3d Printing applied real world problems,5,other
72,72,good indepth look potential applications 3D printing especially liked sections development education class gets thinking potential ramifications 3D printing change economy locally globally,4,other
76,76,Great review accomplished 3D printing,5,other
77,77,Great class,5,other
79,79,lot speaking without sense Skip cost,1,other
86,86,Great overview introduction 3D printing,5,other
87,87,great want overview current situation 3D printing technology develop business 3D printing watch,5,other
88,88,thought great highlevel intro world 3D printing,5,other
89,89,Got new prospects vision 3D printing tech,5,other
93,93,good introduction,4,other
97,97,Great intro 3D printing many many ways used,5,other
98,98,Good experience start,4,other
99,99,Gives nice view 3d printing,5,other
101,101,got great insight towards 3D Printing,5,other
104,104,great introduction 3D printing covers basics different 3D printing technologies desktop industrial hardware shows resources services available utilise 3D printing effectively provides interviews entrepreneurs others industry using technology,5,other
110,110,according expected,3,other
111,111,2 thumbs learned something never learnt,5,other
113,113,Great Introduction 3d printing world,5,other
115,115,Good place start dont know anything 3D printing,5,other
116,116,complete extensiveThe weeks actually take weeks complete,5,other
117,117,Thank much,5,other
120,120,comprehensive total introduction basic concepts 3d printing,5,other
122,122,Suberb introducition 3d printing idea usage,5,other
124,124,Nice introduction 3D absolute beginners interesting interviews entrepreneurs,4,other
126,126,mostly basic stuff even introduced concepts wasnt aware,4,other
128,128,nice introduction 3D printing love,5,other
130,130,cant rate really enjoyed max,5,other
136,136,Geeat give confidence unleash creativity see world different eyes great opportunities create customize objects 3D,5,other
139,139,Great introduction,5,other
142,142,good introduction 3D printing,3,other
143,143,good introduction subject instructor never looses attention new topics examples,5,other
144,144,Great introduction even people pursue completion full specialisation,5,other
145,145,perfect introduction 3D printing world,5,other
146,146,Amazing interactive engaging comprehensive,5,other
147,147,Excellent introduction 3D printing,5,other
149,149,Great class,5,other
151,151,good overview makes long,5,other
152,152,know little nothing additive sounds interesting good place start,4,other
155,155,Simply interesting,5,other
156,156,nice brief introduction 3D Printing technology,5,other
157,157,good helpful introduction 3D Printing,5,other
158,158,Great Class,5,other
159,159,good easy understand first inmersion world 3d printing,5,other
161,161,good Introduction 3D printing,4,other
162,162,Great information 3d printing helps understand current scope technology start,5,other
164,164,fantastic,5,other
165,165,Great class,5,other
169,169,useful understanding basics 3D printing technology,5,other
171,171,good intro 3d printed,5,other
175,175,great introduction 3d printing maker movement Things thought knew corrected resources never knew introduced worthwhile,5,other
177,177,Practically oriented brilliantly organized,5,other
179,179,Best place get uptodate stateoftheart 3D printing really liked Revolutionaries section get exposure interdisciplinary ideas floating around 3D Printing landscape,5,other
183,183,Great endeavor learn 3D printing technology place,5,other
189,189,Thanks help,5,other
190,190,fast provided good overview would like cases work apply methods,5,other
191,191,Providing insight need look investing company interpret balance sheet found,4,other
203,203,three first weeks almost completely dedicated traditional finance accounting ratio analysis,2,other
209,209,first three weeks focussed heavily ratios detecting fraud earnings management organization fourth week seemed actually relate data analytics nonfinancial aspects company play role financial outcomes really see data analyst accounting field would using fraud detection scenarios real life data analyst would focused improving business analyses pertain improving certain aspects business finding managers earnings management using Mscore etc,3,other
212,212,Departments rigidity information sharing ailment middle lower organizational levels notable issue,5,other
217,217,great accounting ratio analysis,5,other
218,218,Good overview Financial Analytics,4,other
225,225,Excellent overview identification problems financial statements,5,other
232,232,difficult people without accounting background take,3,other
238,238,insightful topic good overview use analytics accounting,4,other
244,244,Excellent thoughts concepts presented,4,other
255,255,far subject,2,other
262,262,Week 4 best appropiate specialization,4,other
264,264,Capstone project getting delayed since JanDont expect complete specialization,1,other
272,272,boring,1,other
273,273,Easiest accounting common sense ever took acct wasting time,1,other
275,275,Extremely useful recommend,5,other
280,280,really appreciate instructor considerate,5,other
283,283,Bushee fantastic Ittner fine entertaining Bushee,4,other
286,286,Best cour Best sitetanks,4,other
291,291,good overview analytics options within accounting,5,other
